track_title,album,release_year,song_id,genius_url,source_artist,target_artist,role
Baby Boy (Junior’s World Mixshow),,2004.0,886867,https://genius.com/Beyonce-baby-boy-juniors-world-mixshow-lyrics,Beyoncé,Sean Paul,featured
Baby Mama,,2020.0,5350432,https://genius.com/Brandy-baby-mama-lyrics,Brandy,Chance the Rapper,featured
Baby in the Club,,2007.0,11000175,https://genius.com/Rhymefest-baby-in-the-club-lyrics,Rhymefest,Kanye West,featured
Baby’s Coming,,2000.0,2878046,https://genius.com/Kanye-west-babys-coming-lyrics,Kanye West,Go Getters,featured
Back (To You),,2011.0,3461062,https://genius.com/Frank-ocean-back-to-you-lyrics,Frank Ocean,Nikki Flores,featured
Back Outside,,,12520130,https://genius.com/Ty-dolla-sign-and-damn-james-back-outside-lyrics,Ty Dolla $ign,Ant Clemons,featured
Back to Basics,,2005.0,3056,https://genius.com/Kanye-west-back-to-basics-lyrics,Kanye West,Common,featured
Backseat Driver,,2025.0,12471801,https://genius.com/Cole-davis-backseat-driver-lyrics,Cole Davis,papa mbye,featured
Bad Habit,,2017.0,3280947,https://genius.com/Le-sinner-bad-habit-lyrics,LE SINNER,salute,featured
Bad Idea,,2019.0,4637023,https://genius.com/Cordae-bad-idea-lyrics,Cordae,Chance the Rapper,featured
Bad Night,,,4738604,https://genius.com/Kanye-west-bad-night-lyrics,Kanye West,Young Thug,featured
Bad Night (Tyga Reference),,,3796275,https://genius.com/Kanye-west-bad-night-tyga-reference-lyrics,Kanye West,Tyga,featured
Bad Night (Tyga Reference),,,3796275,https://genius.com/Kanye-west-bad-night-tyga-reference-lyrics,Kanye West,Young Thug,featured
Bad Night / Rap Tarantino,,,5945302,https://genius.com/Kanye-west-bad-night-rap-tarantino-lyrics,Kanye West,Young Thug,featured
Bad for You,,2015.0,2151245,https://genius.com/Meek-mill-bad-for-you-lyrics,Meek Mill,Nicki Minaj,featured
Bag of Money,,2012.0,62959,https://genius.com/Wale-bag-of-money-lyrics,Wale,Rick Ross,featured
Bag of Money,,2012.0,62959,https://genius.com/Wale-bag-of-money-lyrics,Wale,T-Pain,featured
Bag of Money,,2012.0,62959,https://genius.com/Wale-bag-of-money-lyrics,Wale,Meek Mill,featured
Bake Sale,,2016.0,2304247,https://genius.com/Wiz-khalifa-bake-sale-lyrics,Wiz Khalifa,Travis Scott,featured
Ball For Me,,2018.0,3646571,https://genius.com/Post-malone-ball-for-me-lyrics,Post Malone,Nicki Minaj,featured
Ball Player,,2017.0,2965836,https://genius.com/Meek-mill-ball-player-lyrics,Meek Mill,Quavo,featured
Baller Alert,,2016.0,2388149,https://genius.com/Tyga-baller-alert-lyrics,Tyga,2 Chainz,featured
Baller Alert,,2016.0,2388149,https://genius.com/Tyga-baller-alert-lyrics,Tyga,Rick Ross,featured
Ballin,,2016.0,2864792,https://genius.com/Juicy-j-ballin-lyrics,Juicy J,Kanye West,featured
Bandz,,2013.0,128449,https://genius.com/Travis-scott-bandz-lyrics,Travis Scott,Meek Mill,featured
Baptized in Fire,,2016.0,2856357,https://genius.com/Kid-cudi-baptized-in-fire-lyrics,Kid Cudi,Travis Scott,featured
Barefoot in the Park,,2019.0,4201752,https://genius.com/James-blake-barefoot-in-the-park-lyrics,James Blake,ROSALÍA,featured
Barely Breathing,,2015.0,2981719,https://genius.com/Gracie-abrams-barely-breathing-lyrics,Gracie Abrams,Annie Schindel,featured
Barry Bonds,,2007.0,38,https://genius.com/Kanye-west-barry-bonds-lyrics,Kanye West,Lil Wayne,featured
Batman,,2014.0,360730,https://genius.com/Trinidad-james-batman-lyrics,Trinidad James,Travis Scott,featured
Be Aight,,2010.0,10807980,https://genius.com/Rich-kidz-be-aight-lyrics,Rich Kidz,Kanye West,featured
